CardID,CustomerID,CardNumber,CardType,ExpiryDate
10001,1,213127551657723,Visa,2026-10-26
10002,2,4495671803217420705,Amex,2027-10-02
10003,3,4051093414182183,MasterCard,2027-02-03
10004,4,30334008064021,Discover,2027-11-19
10005,5,4331702876327639,Visa,2027-10-27
10006,6,3526857204454708,MasterCard,2027-02-03
10007,7,4727147380365052822,Visa,2027-06-13
10008,8,4513438372414106,Discover,2027-03-09
10009,9,4472205774893,Discover,2027-06-20
10010,10,4422805201144,Amex,2027-05-06
10011,11,501825804922,Amex,2027-03-23
10012,12,5283080994058070,MasterCard,2027-09-19
10013,13,4700159847194718,Discover,2027-03-23
10014,14,4004757277098,MasterCard,2029-01-28
10015,15,2240220554819466,Amex,2026-10-05
10016,16,213144980273162,Amex,2029-02-12
10017,17,180090755042911,Visa,2026-12-26
10018,18,4756746077885,Discover,2029-05-04
10019,19,6011931875390031,MasterCard,2029-06-10
10020,20,4782584619960510,Visa,2027-11-12
10021,21,30008584540477,Visa,2029-06-24
10022,22,4715471841616072,Visa,2028-08-21
10023,23,2282700312653827,Discover,2029-05-20
10024,24,3534865200972680,Visa,2027-02-16
10025,25,4078581642760355204,Visa,2027-12-25
10026,26,4310420050877890,MasterCard,2027-08-24
10027,27,582319905367,Visa,2027-07-12
10028,28,30020436227625,Discover,2027-03-25
10029,29,3552157410562007,Amex,2027-12-15
10030,30,4980351494473864,MasterCard,2027-02-09
10031,31,3563461251560931,Visa,2028-08-30
10032,32,6597895266677177,Discover,2026-11-22
10033,33,30317629409402,MasterCard,2027-12-26
10034,34,4863464729901,MasterCard,2029-03-14
10035,35,213160613422240,MasterCard,2029-03-17
10036,36,30209342771566,Amex,2028-10-15
10037,37,3565717422180281,Amex,2027-09-16
10038,38,4653981858279,MasterCard,2028-08-03
10039,39,30052237389247,Visa,2028-08-31
10040,40,30246859751243,Discover,2027-09-24
10041,41,3502387771632062,Visa,2026-08-27
10042,42,3580625380736260,Amex,2029-06-24
10043,43,3593641847164314,Visa,2026-08-30
10044,44,4031256789691659,Discover,2028-04-17
10045,45,4545878629119076979,Discover,2026-10-13
10046,46,639093058035,Amex,2028-04-12
10047,47,4976686084900560,Discover,2029-02-01
10048,48,3582109323646710,MasterCard,2029-06-22
10049,49,4014399611992,Visa,2028-05-28
10050,50,30009753869168,Visa,2028-08-30
10051,51,4193010552177501,Amex,2028-05-15
10052,52,213166210821106,Discover,2028-12-29
10053,53,2291913455266682,Visa,2028-11-22
10054,54,6011175652595764,Visa,2029-03-02
10055,55,6595815839797312,Amex,2027-04-16
10056,56,3541556054850335,Visa,2029-02-02
10057,57,503859417738,Amex,2028-01-13
10058,58,4729023091333,MasterCard,2028-11-13
10059,59,30184044669410,MasterCard,2029-04-27
10060,60,4559671825786382,Discover,2027-02-01
10061,61,36291917495411,Discover,2029-01-30
10062,62,30197721731352,MasterCard,2027-05-09
10063,63,4071459968155175202,Visa,2027-02-01
10064,64,4435611008246391195,Discover,2026-07-27
10065,65,30331478331054,Visa,2028-06-25
10066,66,3574223716427750,Discover,2028-12-05
